번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자
1720,소프트웨어 스펙의 모든 것,김익환.전규현 지음,한빛미디어,2021,9.79116E+12,,,,,1,1,2021-02-09
1721,그림책을 읽고 함께 요리하는 그림책 레시피,사랑눈.정화 지음,(주)학교도서관저널,2020,9.78897E+12,,,,29.8,1,1,2021-02-09
1722,그림책으로 상상하고 몸으로 표현하는 그림책 연극 수업,이지현 지음,(주)학교도서관저널,2021,9.78897E+12,,,,29.8,1,1,2021-02-09
1723,그림으로 이해하는 RPA의 구조,"니시무라 야스히로 지음, 김기태 옮김, 송철오 감수",성안당,2020,9.78893E+12,,,,,1,2,2021-02-09
1724,그림으로 공부하는 IT 인프라 구조,"야마자키 야스시 외 지음, 김완섭 옮김, 오다 케이지 감수",제이펍,2020,9.79119E+12,,,,,1,2,2021-02-09
1725,6개월 치 업무를 하루 만에 끝내는 업무 자동화,반병현 지음,생능출판사,2020,9.78897E+12,,,,,1,2,2021-02-09
1726,다큐의 기술,김옥영 지음,문학과지성사,2020,9.78893E+12,,,,,1,0,2021-02-09
1727,꼭두각시 조종사,"요슈타인 가아더 지음, 손화수 옮김",현대문학,2020,9.79119E+12,,,,,1,0,2021-02-09
1728,"기후위기, 과학이 말하다","존 쿡 지음, 홍소정 옮김",청송재,2021,9.7912E+12,,,,,1,0,2021-02-09
1729,프렌즈 제주,허준성 지음,중앙books(중앙북스),2020,9.78893E+12,,,,,1,0,2021-02-09
1730,질문하는 한국사 5 : 현대,"김수자 지음, 나오미양 그림",나무를심는사람들,2020,9.79119E+12,,,,,1,0,2021-02-09
1731,아이 좋아 가족 여행,송윤경 지음,중앙books(중앙북스),2020,9.78893E+12,,,,,1,0,2021-02-09
1732,반전이 있는 미국사,권재원 지음,다른,2020,9.79116E+12,,,,,1,0,2021-02-09
1733,단군은 정말?,박용준 지음,기역(ㄱ),2020,9.79119E+12,,,,,1,0,2021-02-09
1734,놓치면 후회할 서울 나들이 명소 48,염승화 지음,보민출판사,2020,9.79119E+12,,,,,1,0,2021-02-09
